Date,^GSPC,^RUT,^NDX
2020-05-04 00:00:00+00:00,2842.739990234375,1263.969970703125,8834.1103515625
2020-05-05 00:00:00+00:00,2868.43994140625,1273.510009765625,8930.6201171875
2020-05-06 00:00:00+00:00,2848.419921875,1263.010009765625,8984.8603515625
2020-05-07 00:00:00+00:00,2881.18994140625,1282.9300537109375,9101.8798828125
2020-05-08 00:00:00+00:00,2929.800048828125,1329.6400146484375,9220.349609375
2020-05-11 00:00:00+00:00,2930.18994140625,1321.239990234375,9298.919921875
2020-05-12 00:00:00+00:00,2870.1201171875,1275.5400390625,9112.4501953125
2020-05-13 00:00:00+00:00,2820.0,1233.25,9000.080078125
2020-05-14 00:00:00+00:00,2852.5,1237.550048828125,9094.419921875
2020-05-15 00:00:00+00:00,2863.699951171875,1256.989990234375,9152.6396484375
2020-05-18 00:00:00+00:00,2953.909912109375,1333.68994140625,9331.9296875
2020-05-19 00:00:00+00:00,2922.93994140625,1307.719970703125,9298.5400390625
2020-05-20 00:00:00+00:00,2971.610107421875,1346.9300537109375,9485.01953125
2020-05-21 00:00:00+00:00,2948.510009765625,1347.56005859375,9377.990234375
2020-05-22 00:00:00+00:00,2955.449951171875,1355.530029296875,9413.990234375
2020-05-26 00:00:00+00:00,2991.77001953125,1393.0699462890625,9389.98046875
2020-05-27 00:00:00+00:00,3036.1298828125,1436.3599853515625,9442.0498046875
2020-05-28 00:00:00+00:00,3029.72998046875,1400.6700439453125,9416.7099609375
2020-05-29 00:00:00+00:00,3044.31005859375,1394.0400390625,9555.5302734375
2020-06-01 00:00:00+00:00,3055.72998046875,1405.3699951171875,9598.8896484375
2020-06-02 00:00:00+00:00,3080.820068359375,1418.2099609375,9657.3095703125
2020-06-03 00:00:00+00:00,3122.8701171875,1452.0899658203125,9704.6904296875
2020-06-04 00:00:00+00:00,3112.35009765625,1452.06005859375,9629.66015625
2020-06-05 00:00:00+00:00,3193.929931640625,1507.1500244140625,9824.3896484375
2020-06-08 00:00:00+00:00,3232.389892578125,1536.8900146484375,9901.51953125
2020-06-09 00:00:00+00:00,3207.179931640625,1507.050048828125,9967.169921875
2020-06-10 00:00:00+00:00,3190.139892578125,1467.3900146484375,10094.259765625
2020-06-11 00:00:00+00:00,3002.10009765625,1356.219970703125,9588.48046875
2020-06-12 00:00:00+00:00,3041.31005859375,1387.6800537109375,9663.7802734375
2020-06-15 00:00:00+00:00,3066.590087890625,1419.6099853515625,9776.8896484375
